date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:49:39	105275/105275	---M-Z	200	added ('OK')	text/html	etag:%221fe1255-19975-639099aed5d40-gzip%22	https://codervent.com/maxton/demo/vertical-menu/index.html	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/index.html	(from )
16:49:39	355/355	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202026%2016:49:39%20GMT	https://codervent.com/robots.txt		(from )
16:49:40	2026/2026	---M--	200	added ('OK')	image/png	etag:%221fe11fc-7ea-619bcdbd55040%22	https://codervent.com/maxton/demo/vertical-menu/assets/images/favicon-32x32.png	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/assets/images/favicon-32x32.png	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:40	2351/2351	---M-Z	200	added ('OK')	text/css	etag:%221fe111a-92f-619c129fb9500-gzip%22	https://codervent.com/maxton/demo/vertical-menu/assets/css/pace.min.css	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/assets/css/pace.min.css	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:41	12293/12293	---M-Z	200	added ('OK')	text/javascript	etag:%222040d4c-3005-5ba691a0dd5c0-gzip%22	https://codervent.com/maxton/demo/vertical-menu/assets/js/pace.min.js	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/assets/js/pace.min.js	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:41	1819/1819	---M-Z	200	added ('OK')	text/css	etag:%222060a90-71b-5ba692898fac0-gzip%22	https://codervent.com/maxton/demo/vertical-menu/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:42	1938/1938	---M-Z	200	added ('OK')	text/css	etag:%222060a22-792-5e2cc63418f80-gzip%22	https://codervent.com/maxton/demo/vertical-menu/assets/plugins/metismenu/metisMenu.min.css	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/assets/plugins/metismenu/metisMenu.min.css	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:42	1000/1000	---M-Z	200	added ('OK')	text/css	etag:%222060a26-3e8-5e2cc796dd480-gzip%22	https://codervent.com/maxton/demo/vertical-menu/assets/plugins/metismenu/mm-vertical.css	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/assets/plugins/metismenu/mm-vertical.css	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:42	2964/2964	---M-Z	200	added ('OK')	text/css	etag:%222080d5c-b94-5ba68dfe141c0-gzip%22	https://codervent.com/maxton/demo/vertical-menu/assets/plugins/simplebar/css/simplebar.css	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/assets/plugins/simplebar/css/simplebar.css	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:43	263122/263122	---M-Z	200	added ('OK')	text/css	etag:%221fe1117-403d2-6196b1e4fb840-gzip%22	https://codervent.com/maxton/demo/vertical-menu/assets/css/bootstrap.min.css	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/assets/css/bootstrap.min.css	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:44	17927/17927	---M-Z	200	added ('OK')	text/css	etag:%221fe1116-4607-619955e4a19c0-gzip%22	https://codervent.com/maxton/demo/vertical-menu/assets/css/bootstrap-extended.css	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/assets/css/bootstrap-extended.css	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:44	32002/32002	---M-Z	200	added ('OK')	text/css	etag:%222080d75-7d02-639169cccdfc0-gzip%22	https://codervent.com/maxton/demo/vertical-menu/sass/main.css	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/sass/main.css	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:45	18486/18486	---M-Z	200	added ('OK')	text/css	etag:%222080d72-4836-63916a9bc0800-gzip%22	https://codervent.com/maxton/demo/vertical-menu/sass/dark-theme.css	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/sass/dark-theme.css	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:45	22393/22393	---M-Z	200	added ('OK')	text/css	etag:%222080d6c-5779-639169cccdfc0-gzip%22	https://codervent.com/maxton/demo/vertical-menu/sass/blue-theme.css	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/sass/blue-theme.css	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:46	3864/3864	---M-Z	200	added ('OK')	text/css	etag:%222080d7b-f18-639169cccdfc0-gzip%22	https://codervent.com/maxton/demo/vertical-menu/sass/semi-dark.css	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/sass/semi-dark.css	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:46	444/444	---M-Z	200	added ('OK')	text/css	etag:%222080d6f-1bc-639169cccdfc0-gzip%22	https://codervent.com/maxton/demo/vertical-menu/sass/bordered-theme.css	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/sass/bordered-theme.css	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:46	2967/2967	---M-Z	200	added ('OK')	text/css	etag:%222080d78-b97-639169cccdfc0-gzip%22	https://codervent.com/maxton/demo/vertical-menu/sass/responsive.css	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/sass/responsive.css	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:47	51939/51939	---M--	200	added ('OK')	image/png	etag:%221fe11ce-cae3-5cbf79011ce80%22	https://codervent.com/maxton/demo/vertical-menu/assets/images/avatars/01.png	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/assets/images/avatars/01.png	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:48	54575/54575	---M--	200	added ('OK')	image/png	etag:%221fe11cf-d52f-5cbf79911e240%22	https://codervent.com/maxton/demo/vertical-menu/assets/images/avatars/02.png	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/assets/images/avatars/02.png	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
16:49:48	43156/43156	---M--	200	added ('OK')	image/png	etag:%221fe11d0-a894-5cbf7a11dd200%22	https://codervent.com/maxton/demo/vertical-menu/assets/images/avatars/03.png	C:/Mes%20Sites%20Web/dahboard/codervent.com/maxton/demo/vertical-menu/assets/images/avatars/03.png	(from https://codervent.com/maxton/demo/vertical-menu/index.html)
